title,introdate,avg_out_of_state_score,avg_out_of_state_quintile,party,bill,house_senate,max_score,max_score_quintile,count,uquintile,sponsor,memberID
teacher certification; reciprocity,2016-01-20T11:29:32,7.45,5,R,SB1208,Senate,40,3,34756,1,Sylvia Allen,6
juvenile commitment; dependent; incorrigible children,2016-01-19T14:18:27,10.31,2,R,SB1159,Senate,40,3,2626,3,Steve Smith,11
employment practices; consumer reports; limitation,2016-01-14T17:14:15,11.46,1,D,HB2422,House,68,1,54024,1,Juan Mendez,62
inmate body scans; contraband,2016-01-13T13:45:19,7.14,5,R,HB2183,House,32,5,553,4,"Thomas R. Shope, Jr.",36
independent redistricting commission; membership,2016-01-28T14:44:05,10.81,1,R,SCR1017,Senate,60,1,6445,2,Jeff Dial,18
death resolution; Oscar Palmer Austin,2016-02-23T11:32:03,7.82,5,D,HR2003,House,40,3,1099,4,Reginald Bolding Jr.,46
power of attorney; notice,2016-01-14T16:45:15,9.76,2,D,HB2394,House,50,2,21555,1,Debbie McCune Davis,85
technical correction; state facilities,2016-02-05T15:16:47,9.74,2,R,HB2647,House,28,5,113,5,Steve Montenegro,66
"student, teacher data collection; prohibitions",2016-02-01T16:07:33,9.34,3,R,HB2582,House,48,2,7951,2,Phil Lovas,68
lieutenant governor; duties; ballot,2016-01-14T11:08:07,11.18,1,R,HB2252,House,40,3,10162,2,Javan D. Mesnard,77
mortgage standards; urging federal government,2016-01-12T11:01:12,7.07,5,D,SCM1001,Senate,47,2,3287,3,Steve Farley,9
adoption; married couple; preference,2016-01-19T15:48:33,8.48,4,D,SB1171,Senate,40,3,95,5,Steve Farley,9
bonding; sale; premiums; refunding; refinance,2016-01-14T14:01:15,9.77,2,R,HB2301,House,40,3,20165,1,Jeff Weninger,88
judicial productivity credits; calculation; salary,2016-02-01T16:33:00,8.18,4,R,SB1510,Senate,40,3,3567,3,Adam Driggs,28
gold and silver coins; taxation,2016-01-28T15:56:35,8.50,4,R,SB1423,Senate,40,3,467,4,David C. Farnsworth,16
state board of education; members,2016-01-06T16:46:29,9.47,3,R,HB2058,House,40,3,1060,4,Kelly Townsend,53
pension contributions; expenditure limit exemption,2016-01-19T14:16:35,8.92,3,R,HB2512,House,40,3,2279,3,Doug Coleman,55
water resources; salt cedar appropriation,2016-01-27T14:30:35,9.59,2,D,SB1372,Senate,40,3,524,4,Lynne Pancrazi,4
death penalty; prohibition,2016-01-14T18:16:41,9.07,3,D,HCR2022,House,48,2,1881,3,Juan Mendez,62
voter registration; social security number,2015-12-29T11:47:30,11.27,1,D,SB1029,Senate,71,1,5511,2,Martin Quezada,29
institutional investor; definition,2015-12-07T16:17:34,14.54,1,R,SB1006,Senate,42,2,134,5,David C. Farnsworth,16
continuous smuggling; criminal act,2016-01-19T14:19:08,6.40,5,R,SB1168,Senate,16,5,120,5,Jeff Dial,18
special health care districts; treasurer,2016-01-14T14:36:28,6.20,5,R,HB2308,House,15,5,52,5,Regina Cobb,38
technical correction; youth sex offenders,2016-01-11T12:10:22,10.04,2,R,HB2101,House,40,3,1113,4,John M. Allen,54
probation performance; annual reporting,2016-01-14T16:26:06,9.43,3,R,HB2384,House,40,3,3421,3,Eddie Farnsworth,52
disorderly conduct,2016-01-14T17:18:37,8.54,4,R,HB2426,House,40,3,11658,1,Kelly Townsend,53
process servers; motor vehicle records,2016-01-07T14:37:54,9.49,3,R,SB1061,Senate,51.5,2,4234,2,John Kavanagh,23
guardians; duties; access to ward,2016-01-13T10:03:37,10.08,2,R,SB1102,Senate,68,1,11332,1,Nancy Barto,15
audits; accountants; reciprocity privilege,2016-01-14T17:39:40,7.70,5,R,HB2448,House,40,3,55569,1,Darin Mitchell,37
employment security; time frames; appeals,2016-01-11T16:12:53,9.46,3,R,HB2113,House,44,2,10591,2,Warren H. Petersen,69
charter schools; preference; foster children,2016-02-08T16:18:04,10.47,2,R,HB2665,House,64,1,12134,1,John M. Allen,54
securities; issuers; website operators,2016-01-14T14:33:07,11.34,1,R,HB2302,House,45,2,954,4,Jeff Weninger,88
municipalities; taxes and fees; notification,2016-02-04T18:37:08,11.17,1,R,HB2635,House,40,3,543,4,Jeff Weninger,88
civics test; voter registration materials,2016-01-20T08:25:59,9.47,3,D,SB1201,Senate,56,1,3289,3,Andrew C. Sherwood,91
early ballots; election day postmark,2016-01-11T12:19:08,8.61,4,D,SB1080,Senate,40,3,4014,2,Martin Quezada,29
abortion; parental consent; counseling exception,2016-01-14T13:23:28,11.03,1,D,HB2273,House,64,1,8551,2,Juan Mendez,62
firearm sales; transfers; background checks.,2016-01-26T16:27:16,11.74,1,D,SB1339,Senate,60,1,8288,2,Martin Quezada,29
behavioral health services; dependent children,2016-02-08T13:43:10,6.82,5,D,HB2654,House,40,3,5276,2,Debbie McCune Davis,85
postsecondary institutions; sexual consent policies,2016-01-14T14:06:58,6.71,5,D,HB2278,House,40,3,70,5,Juan Mendez,62
early voting locations; extended hours.,2016-01-20T08:26:45,8.73,3,D,SB1203,Senate,44,2,2142,3,Andrew C. Sherwood,91
technical correction; deaf; blind school,2016-01-12T14:24:40,7.75,5,R,SB1092,Senate,40,3,1398,3,Sylvia Allen,6
recycled materials; purchase; agencies; repeal,2016-01-07T11:10:57,5.75,5,R,SB1056,Senate,19,5,20,5,John Kavanagh,23
insurance; prescription eye drops; refills,2016-01-14T11:40:46,11.92,1,R,HB2264,House,51,2,1829,3,Kate Brophy McGee,79
wild horses; management; prohibition,2016-01-14T14:58:48,7.83,5,R,HB2340,House,30.5,5,20,5,Kelly Townsend,53
dispensing contact lenses; technical correction,2016-01-13T08:29:39,8.22,4,R,HB2158,House,35,5,141,5,Heather Carter,81
electronic legal material,2016-01-14T18:03:47,20.46,1,R,HB2466,House,56,1,4323,2,Kate Brophy McGee,79
disability removable windshield placards,2016-02-08T13:50:43,11.60,1,D,HB2657,House,60,1,6652,2,Reginald Bolding Jr.,46
hospitals; dieticians; prescriptions; diet orders,2016-01-26T14:53:01,9.81,2,R,SB1327,Senate,52,2,6684,2,Nancy Barto,15
technical event production services; exemption,2016-01-11T16:12:19,9.69,2,R,HB2112,House,24,5,980,4,Warren H. Petersen,69
municipalities; water rates; requirements,2016-01-14T16:30:10,7.51,5,R,HB2391,House,40,3,1268,4,Russell Bowers,90
cash assistance; time limit; increase,2016-01-26T16:35:18,7.49,5,D,SB1343,Senate,35,5,2492,3,Andrew C. Sherwood,91
commercial motor vehicles,2016-01-14T10:58:23,10.54,2,R,HB2251,House,59,1,24413,1,Rick Gray,40
cash assistance; lifetime limit.,2016-01-14T15:50:04,7.80,5,D,SB1138,Senate,43.5,2,4043,2,Katie Hobbs,24
employment security; omnibus,2016-01-13T16:08:47,8.72,3,R,HB2222,House,40,3,22998,1,Karen Fann,43
appropriations; education.,2016-02-01T14:19:00,8.03,4,D,SB1465,Senate,40,3,2444,3,Katie Hobbs,24
unlawful distribution of private images,2015-11-16T13:01:07,8.40,4,R,HB2001,House,66,1,815,4,Javan D. Mesnard,77
EPA; exceeding authority; urging Congress,2016-01-29T15:45:00,8.01,4,R,SCM1015,Senate,37,4,632,4,Gail Griffin,14
state judgment liens; effect; information,2016-01-27T08:50:18,10.24,2,R,SB1345,Senate,47,2,9012,2,David C. Farnsworth,16
insurance; estimated cost of services,2016-01-13T16:13:07,10.73,1,R,HB2218,House,60,1,7708,2,Anthony Kern,64
employment and labor omnibus.,2016-01-29T16:15:10,8.78,3,D,HB2569,House,52,2,5695,2,Celeste Plumlee,92
first responders; honoring,2016-01-19T17:05:06,12.18,1,R,SCR1006,Senate,48,2,31,5,Gail Griffin,14
delegation of powers; parent; custodian,2016-01-27T14:31:35,9.88,2,R,HB2552,House,60,1,17478,1,John M. Allen,54
public accommodation; services; civil actions,2016-01-25T11:20:05,9.50,2,R,SB1284,Senate,48,2,12508,1,John Kavanagh,23
gold bonds; study committee,2016-01-25T16:21:41,12.03,1,R,HB2541,House,56,1,1009,4,Mark Finchem,80
pawnbroker licensure; DPS,2016-02-08T17:39:42,9.52,2,R,HB2690,House,48,2,15389,1,David M. Gowan Sr.,50
constables; duties; training; discipline,2016-01-14T13:40:11,7.07,5,R,HB2288,House,40,3,323,5,Russell Bowers,90
board of executive clemency; membership,2016-01-25T10:24:27,9.92,2,D,SB1276,Senate,40,3,820,4,Martin Quezada,29
domestic surplus lines insurance; fees,2016-01-12T15:42:46,10.98,1,R,HB2149,House,55,1,18536,1,Karen Fann,43
sovereign authority; refugees,2016-01-14T16:04:43,8.97,3,R,HB2370,House,40,3,1302,3,Bob Thorpe,70
superior court jurisdiction; technical correction,2016-01-13T11:27:25,6.74,5,R,HCR2016,House,25.5,5,36,5,Vince Leach,31
STO scholarships; means testing,2016-01-13T15:41:12,9.35,3,D,HB2210,House,40,3,7575,2,Randall Friese,45
lieutenant governor; joint ticket,2016-01-14T11:09:49,11.94,1,R,HCR2020,House,45,2,100,5,Javan D. Mesnard,77
technical correction; defined contribution plan,2016-01-19T16:13:57,8.34,4,R,SB1183,Senate,20,5,92,5,Debbie Lesko,21
taxes; payment; condemned property,2016-01-04T13:14:53,8.53,4,R,HB2028,House,40,3,47210,1,Darin Mitchell,37
AHCCCS; covered services,2016-01-25T17:15:42,7.31,5,R,SB1305,Senate,40,3,1286,4,Nancy Barto,15
small property tax balance delinquency.,2016-01-12T10:52:19,8.12,4,R,HB2127,House,40,3,404,4,Javan D. Mesnard,77
AHCCCS; dental services; informed consent,2016-02-01T16:32:00,5.57,5,R,SB1509,Senate,12,5,37,5,Carlyle Begay,7
national monuments; justification; litigation,2016-02-02T14:11:03,8.75,3,R,HB2585,House,48,2,5469,2,Bob Thorpe,70
labor organizations; nonunion employees; representation,2016-01-26T16:25:26,9.86,2,D,SB1335,Senate,40,3,1013,4,Martin Quezada,29
construction contracts; bonds; notice requirements,2016-01-14T11:46:05,11.79,1,R,HB2268,House,64,1,3743,3,Karen Fann,43
public safety; violence prevention; committee.,2015-12-18T14:24:15,9.86,2,D,SB1021,Senate,40,3,1390,3,Andrew C. Sherwood,91
TPT; exemption; aerial applicators,2016-01-12T13:52:27,8.33,4,R,HB2133,House,35,5,4216,2,"Thomas R. Shope, Jr.",36
attorney regulation; assessments; membership dues,2016-01-13T16:06:31,7.53,5,R,HB2221,House,40,3,340,5,Anthony Kern,64
ozone concentration standard; urging EPA,2016-01-22T14:35:06,7.58,5,R,SCM1007,Senate,47.5,2,4336,2,Gail Griffin,14
purple heart state; day,2016-01-04T15:25:15,8.44,4,R,SCR1002,Senate,60,1,2550,3,Sylvia Allen,6
procurement; veterans; Arizona bidders; preference,2016-02-08T17:31:06,9.79,2,D,HB2679,House,46,2,163,5,Diego Espinoza,86
collection agencies; unlawful acts,2016-01-14T16:45:50,9.26,3,D,HB2395,House,24,5,211,5,Debbie McCune Davis,85
STO scholarships; student transfers,2016-01-13T16:10:22,8.95,3,D,HB2213,House,40,3,5102,2,Randall Friese,45
income tax subtraction; space flight,2016-02-01T15:52:00,11.32,1,D,SB1488,Senate,47,2,24946,1,Andrew C. Sherwood,91
budget stabilization fund; deposits,2016-02-01T15:52:31,8.93,3,R,HB2578,House,40,3,6004,2,Javan D. Mesnard,77
veterans court; establishment; mandatory referrals,2016-01-27T16:56:14,8.39,4,R,HB2554,House,40,3,4371,2,Jay Lawrence,71
reporting; untested sexual assault kits,2016-01-28T14:37:35,11.52,1,D,SB1406,Senate,52,2,1192,4,Katie Hobbs,24
housing discrimination; prohibition,2016-01-14T17:03:54,12.42,1,D,HB2415,House,55,1,5881,2,Stefanie Mach,89
county merit system; terms; hearings,2016-01-14T10:56:07,9.07,3,R,HB2247,House,40,3,1085,4,Rick Gray,40
public monies; prohibited expenditure,2016-01-14T17:05:02,7.70,5,R,HB2417,House,40,3,911,4,Anthony Kern,64
Arizona criminal justice commission; membership,2016-01-25T10:24:00,9.50,2,D,SB1275,Senate,40,3,60,5,Martin Quezada,29
appropriation; information and referral service,2016-01-14T13:25:49,8.93,3,D,HB2277,House,20,5,61,5,Juan Mendez,62
state employees; paid family leave,2016-02-08T16:24:35,8.59,4,D,HB2673,House,40,3,456,4,Jonathan R. Larkin,83
appropriation; veterans services; veterans home,2016-01-13T12:13:27,7.46,5,R,SB1114,Senate,23,5,335,5,Sylvia Allen,6
JTEDs; funding; ninth graders.,2016-01-14T18:09:58,8.05,4,D,HB2454,House,36,5,793,4,Lisa A. Otondo,82
court dispositions; searchable public records,2015-12-04T08:57:26,6.52,5,R,HB2004,House,16.5,5,44,5,Mark Finchem,80
charter schools; procurement requirements,2016-01-06T16:17:44,11.31,1,D,SB1052,Senate,36.5,4,3863,2,Martin Quezada,29
consumer lending; licensure; regulation,2016-02-01T09:06:45,9.93,2,R,SB1447,Senate,52,2,23460,1,John Kavanagh,23
schools; transfer students; competency requirements,2016-01-06T16:17:17,7.16,5,D,SB1051,Senate,20,5,620,4,Martin Quezada,29
STO cap; general fund percentage,2016-01-13T15:40:02,11.71,1,D,HB2208,House,47,2,2684,3,Randall Friese,45
voting rights; restoration; felonies.,2015-12-29T11:49:02,10.16,2,D,SB1033,Senate,40,3,1596,3,Martin Quezada,29
personal information; breach; records; exception,2016-01-14T16:00:40,11.64,1,R,HB2363,House,60,1,19604,1,Heather Carter,81
veterans homes; tribal lands,2016-01-14T18:28:13,7.84,5,D,HCM2005,House,29,5,600,4,Albert Hale,51
pilot program; STEM internships,2016-01-14T15:02:47,8.40,4,D,HB2321,House,40,3,9916,2,Eric Meyer,42
consumer lenders; referral fees; insurance,2016-01-12T17:15:41,11.20,1,R,HB2152,House,27.5,5,752,4,Jeff Weninger,88
ranked choice voting,2016-01-14T13:37:20,10.63,2,D,HB2283,House,55.5,1,6747,2,Juan Mendez,62
municipal bonds; tax levy,2016-01-25T15:44:58,9.23,3,R,HB2538,House,35,5,168,5,Javan D. Mesnard,77
technical correction; lottery; minors; prohibition,2016-01-15T11:26:09,10.18,2,R,SB1147,Senate,43,2,1012,4,Steve Pierce,1
retirement savings; employees,2016-01-26T16:24:02,16.84,1,D,SB1332,Senate,60,1,7944,2,Martin Quezada,29
auditor general; classroom spending; charters,2016-02-08T13:43:54,9.36,3,D,HB2655,House,47.5,2,3664,3,Debbie McCune Davis,85
taxation; natural gas delivery,2016-01-28T14:26:09,8.37,4,R,SB1390,Senate,40,3,16565,1,Bob Worsley,25
advisory council; Indian health care.,2016-01-14T14:57:32,8.10,4,D,HB2312,House,40,3,2693,3,Albert Hale,51
initiative; referendum; recall; notary requirement,2015-12-29T11:49:49,10.49,2,D,SB1035,Senate,55,1,15936,1,Martin Quezada,29
law enforcement; deadly force; investigations,2016-02-08T09:24:29,8.75,3,D,HB2650,House,40,3,1088,4,Ken Clark,63
motor vehicle dealers; compensation,2016-01-14T15:25:13,10.75,1,R,HB2348,House,64,1,48757,1,Rick Gray,40
luring minors; sexual exploitation; sentence,2016-01-21T14:17:46,8.60,4,D,SB1262,Senate,32,5,115,5,Barbara McGuire,8
child neglect cases; assessment,2016-01-28T14:34:00,8.37,4,D,SB1404,Senate,40,3,9985,2,Katie Hobbs,24
business entities; shareholders; officers; directors,2016-01-27T14:13:10,10.56,2,R,SB1356,Senate,79.5,1,113207,1,Bob Worsley,25
prohibited money transfers; immigration; violations,2016-01-27T15:34:17,9.75,2,R,SB1378,Senate,52,2,2948,3,Steve Smith,11
unmanned aircraft; prohibited operations,2016-02-01T09:58:11,7.87,5,R,SB1449,Senate,40,3,7675,2,John Kavanagh,23
technical correction; tax debt; enforcement,2016-01-19T16:10:25,7.96,5,R,SB1182,Senate,20,5,25,5,Debbie Lesko,21
county elected officers; salary increase,2016-02-01T16:33:00,8.01,4,R,SB1511,Senate,35,5,369,5,Adam Driggs,28
educator recruitment and retention; report,2016-02-01T16:23:00,10.19,2,D,SB1503,Senate,40,3,36,5,Lynne Pancrazi,4
presidential preference election; appropriation; repeal,2016-02-01T15:24:00,7.90,5,R,SB1486,Senate,40,3,12506,1,Andy Biggs,12
education funding; incarceration study committee,2016-01-20T08:27:31,9.64,2,D,SB1205,Senate,35,5,780,4,Andrew C. Sherwood,91
motor vehicle dealer licensing,2016-01-27T14:22:28,8.71,3,R,SB1358,Senate,68,1,28438,1,Bob Worsley,25
financial disclosure; public officer; travel,2016-01-14T13:59:26,10.21,2,R,HB2298,House,60,1,9191,2,Javan D. Mesnard,77
tax lien foreclosures; subdivisions; exemption,2016-01-07T16:20:31,9.21,3,R,HB2068,House,56,1,16032,1,"Thomas R. Shope, Jr.",36
medical marijuana dispensaries; location change,2016-02-04T10:07:03,13.58,1,R,HB2618,House,52,2,1029,4,Vince Leach,31
minimum wage; nonmonetary compensation.,2016-01-12T15:42:12,7.94,5,R,HB2148,House,43,2,74,5,Karen Fann,43
e-rate program fund; technical correction,2016-01-11T08:45:50,7.36,5,R,HB2085,House,40,3,113,5,David W. Stevens,56
prime contracting classification; repeal,2016-01-14T11:45:31,7.33,5,R,HB2267,House,40,3,13477,1,Regina Cobb,38
schools; primary property tax rates,2016-01-14T17:54:59,10.20,2,R,HB2481,House,23,5,260,5,Justin Olson,78
Native American day; legal holiday,2016-01-11T16:11:08,8.18,4,D,HB2110,House,40,3,251,5,Victoria Steele,47
statewide assessments; parental opt-out,2016-01-06T16:30:22,8.89,3,R,HB2056,House,56,1,7158,2,J. Christopher Ackerley,32
ballot measures; controlled substance; supermajority,2016-01-14T18:17:51,10.78,1,R,HCR2024,House,51,2,14814,1,Bob Thorpe,70
public records; unduly burdensome requests,2016-01-25T11:12:57,8.27,4,R,SB1282,Senate,35,5,1563,3,John Kavanagh,23
forfeitures; allocation of monies,2016-01-25T10:25:23,8.22,4,D,SB1278,Senate,40,3,2203,3,Martin Quezada,29
nunchaku prohibition; repeal,2016-01-06T10:33:03,7.74,5,R,HB2042,House,40,3,7109,2,Mark Finchem,80
